,name,address,brand,open_time,cash_r,cash_h,cash_k,mem_r,mem_h,mem_k
84,太子道西SS / 滋賀石油(株),京都府京都市中京区西ノ京藤ノ木町1-4,ENEOS,営業時間 07:30 - 20:00,149,161,125,149,161,125
85,新丸太町SS / 上原成商事(株),京都府京都市右京区太秦北路町18-1,コスモ石油,営業時間 07:00 - 22:00,149,161,125,149,161,125
86,大枝沓掛SS / 田原石油(株),京都府京都市西京区大枝沓掛町13-201,ENEOS,営業時間 06:00 - 22:00,149,161,125,149,161,125
87,Dr.Drive 円町店 / (株)ENEOSフロンティア,京都府京都市中京区西ノ京北壺井町48,ENEOS,営業時間 08:00 - 20:00,149,161,125,149,161,125
88,プレステージ新堀川SS / 奥村石油(株),京都府京都市伏見区竹田真幡木町60,ENEOS,営業時間,149,161,125,149,161,125
89,京都南インターSS / (株)ペガサス,京都府京都市南区上鳥羽麻ノ本22,ENEOS,営業時間 06:00 - 20:00,149,161,125,149,161,125
90,セルフ京都南エコ・ステーションSS / 伊丹産業(株),京都府京都市南区上鳥羽南鉾立町30,ENEOS,24時間営業,149,160,123,149,160,123
91,久世橋通SS / 山文商事(株),京都府京都市南区吉祥院蒔絵町25-3,ENEOS,営業時間 07:30 - 20:00,149,160,123,149,160,123
92,中央市場前SS / 上原成商事(株),京都府京都市下京区西七条東八反田町23,コスモ石油,営業時間 06:30 - 20:00,149,160,123,149,160,123
93,西野山SS / (株)河村商事,京都府京都市山科区西野山射庭ノ上町67-4,ENEOS,営業時間 07:00 - 20:00,149,160,123,149,160,123
94,四条堀川SS / 木村石油(株),京都府京都市中京区錦小路通堀川西入吉野町829,ENEOS,24時間営業,149,160,123,149,160,123
95,Dr.Drive 山科店 / 吉井石油(株),京都府京都市山科区竹鼻堂ノ前町22-4,ENEOS,営業時間 07:00 - 22:00,149,160,123,149,160,123
96,東桂SS / 美也古石油(株),京都府京都市西京区桂市ノ前町23,出光,営業時間 07:30 - 20:00,149,160,123,149,160,123
